Date,Price,Open,High,Low,Change_%,DayOfWeek
2001-04-10,257.55,258.05,257.55,257.55,-0.37,Tuesday
2001-04-11,258.75,257.75,258.75,258.75,0.47,Wednesday
2001-04-12,260.15,258.85,260.15,260.15,0.54,Thursday
2001-04-13,260.15,260.0,260.15,260.15,0.0,Friday
2001-04-16,263.4,260.0,263.4,263.4,1.25,Monday
2001-04-17,261.0,262.85,261.0,261.0,-0.91,Tuesday
2001-04-18,261.25,261.0,261.25,261.25,0.1,Wednesday
2001-04-19,265.5,261.15,265.5,265.5,1.63,Thursday
2001-04-20,264.65,265.25,264.65,264.65,-0.32,Friday
2001-04-23,263.5,264.25,263.5,263.5,-0.43,Monday
2001-04-24,264.3,263.4,264.3,264.3,0.3,Tuesday
2001-04-25,262.35,264.25,262.35,262.35,-0.74,Wednesday
2001-04-26,264.15,262.6,264.15,264.15,0.69,Thursday
2001-04-27,264.05,264.25,264.05,264.05,-0.04,Friday
2001-04-30,264.05,263.9,264.05,264.05,0.0,Monday
2001-05-01,264.35,263.85,264.35,264.35,0.11,Tuesday
2001-05-02,265.35,264.4,265.35,265.35,0.38,Wednesday
2001-05-03,266.15,265.25,266.15,266.15,0.3,Thursday
2001-05-04,266.15,266.0,266.15,266.15,0.0,Friday
2001-05-07,266.1,266.05,266.1,266.1,-0.02,Monday
2001-05-08,264.95,266.0,264.95,264.95,-0.43,Tuesday
2001-05-09,269.9,265.05,269.9,269.9,1.87,Wednesday
2001-05-10,269.0,269.75,269.0,269.0,-0.33,Thursday
2001-05-11,268.05,269.05,268.05,268.05,-0.35,Friday
2001-05-14,268.5,268.05,268.5,268.5,0.17,Monday
2001-05-15,268.4,268.45,268.4,268.4,-0.04,Tuesday
2001-05-16,272.2,268.5,272.2,272.2,1.42,Wednesday
2001-05-17,273.55,272.05,273.55,273.55,0.5,Thursday
2001-05-18,286.35,273.6,286.35,286.35,4.68,Friday
2001-05-21,285.65,286.5,285.65,285.65,-0.24,Monday
2001-05-22,285.25,285.5,285.25,285.25,-0.14,Tuesday
2001-05-23,283.75,285.5,283.75,283.75,-0.53,Wednesday
2001-05-24,279.25,283.6,279.25,279.25,-1.59,Thursday
2001-05-25,277.9,279.25,277.9,277.9,-0.48,Friday
2001-05-28,277.9,277.75,277.9,277.9,0.0,Monday
2001-05-29,273.9,277.8,273.9,273.9,-1.44,Tuesday
2001-05-30,266.1,273.9,266.1,266.1,-2.85,Wednesday
2001-05-31,266.05,266.5,266.05,266.05,-0.02,Thursday
2001-06-01,267.0,265.9,267.0,267.0,0.36,Friday
2001-06-04,265.55,266.95,265.55,265.55,-0.54,Monday
2001-06-05,266.35,265.85,266.35,266.35,0.3,Tuesday
2001-06-06,266.25,266.35,266.25,266.25,-0.04,Wednesday
2001-06-07,266.35,266.55,266.35,266.35,0.04,Thursday
2001-06-08,273.5,266.6,273.5,273.5,2.68,Friday
2001-06-11,268.0,273.75,268.0,268.0,-2.01,Monday
2001-06-12,271.85,268.15,271.85,271.85,1.44,Tuesday
2001-06-13,272.65,271.85,272.65,272.65,0.29,Wednesday
2001-06-14,275.75,272.65,275.75,275.75,1.14,Thursday
2001-06-15,271.15,275.65,271.15,271.15,-1.67,Friday
2001-06-18,273.05,271.6,273.05,273.05,0.7,Monday
2001-06-19,273.65,272.45,273.65,273.65,0.22,Tuesday
2001-06-20,272.65,273.55,272.65,272.65,-0.37,Wednesday
2001-06-21,272.85,272.55,272.85,272.85,0.07,Thursday
2001-06-22,272.6,272.5,272.6,272.6,-0.09,Friday
2001-06-25,274.0,272.55,274.0,274.0,0.51,Monday
2001-06-26,276.25,273.85,276.25,276.25,0.82,Tuesday
2001-06-27,272.25,276.25,272.25,272.25,-1.45,Wednesday
2001-06-28,269.35,272.55,269.35,269.35,-1.07,Thursday
2001-06-29,270.85,269.4,270.85,270.85,0.56,Friday
2001-07-02,269.35,270.8,269.35,269.35,-0.55,Monday
2001-07-03,267.95,269.55,267.95,267.95,-0.52,Tuesday
2001-07-04,267.95,267.85,267.95,267.95,0.0,Wednesday
2001-07-05,265.35,267.75,265.35,265.35,-0.97,Thursday
2001-07-06,266.25,265.55,266.25,266.25,0.34,Friday
2001-07-09,266.65,266.45,266.65,266.65,0.15,Monday
2001-07-10,266.35,266.65,266.35,266.35,-0.11,Tuesday
2001-07-11,268.75,266.4,268.75,268.75,0.9,Wednesday
2001-07-12,266.85,268.25,266.85,266.85,-0.71,Thursday
2001-07-13,267.35,266.75,267.35,267.35,0.19,Friday
2001-07-16,267.15,267.3,267.15,267.15,-0.07,Monday
2001-07-17,268.45,267.25,268.45,268.45,0.49,Tuesday
2001-07-18,270.75,268.4,270.75,270.75,0.86,Wednesday
2001-07-19,269.45,270.45,269.45,269.45,-0.48,Thursday
2001-07-20,270.15,269.25,270.15,270.15,0.26,Friday
2001-07-23,268.85,270.0,268.85,268.85,-0.48,Monday
2001-07-24,269.75,269.0,269.75,269.75,0.33,Tuesday
2001-07-25,267.95,269.75,267.95,267.95,-0.67,Wednesday
2001-07-26,266.65,267.75,266.65,266.65,-0.49,Thursday
2001-07-27,267.85,266.75,267.85,267.85,0.45,Friday
2001-07-30,265.25,267.85,265.25,265.25,-0.97,Monday
2001-07-31,266.85,265.35,266.85,266.85,0.6,Tuesday
2001-08-01,267.55,266.55,267.55,267.55,0.26,Wednesday
2001-08-02,267.75,267.75,267.75,267.75,0.07,Thursday
2001-08-03,268.45,267.85,268.45,268.45,0.26,Friday
2001-08-06,267.75,268.45,267.75,267.75,-0.26,Monday
2001-08-07,267.65,267.65,267.65,267.65,-0.04,Tuesday
2001-08-08,268.35,267.45,268.35,268.35,0.26,Wednesday
2001-08-09,273.55,268.45,273.55,273.55,1.94,Thursday
2001-08-10,274.25,273.25,274.25,274.25,0.26,Friday
2001-08-13,276.05,274.0,276.05,276.05,0.66,Monday
2001-08-14,276.45,275.75,276.45,276.45,0.14,Tuesday
2001-08-15,276.05,276.35,276.05,276.05,-0.14,Wednesday
2001-08-16,275.35,275.95,275.35,275.35,-0.25,Thursday
2001-08-17,279.25,274.95,279.25,279.25,1.42,Friday
